item_id,item,qty,source,planning_cash_krw,budget_bucket,status,reuse_after_test,notes
DRV-03R,M3 Z16 solid phase gear right,1,exports/drive_interface/parts/DRV-03R,1500,SH-INTERFACE,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,18 mm S45C; local key14.464 deg; installed tooth phase11.25 deg
DRV-01/Axx,LEGACY universal motor adapter — DO NOT USE WITH GGM,1,exports/drive_interface,0,CNC-02,LEGACY_NOT_FOR_GGM_DO_NOT_FABRICATE,no,historical v0.6 powered fixture only; current P4 uses final GGM shredder drive
GGM-SH-PATH,Current GGM protection/jackshaft + #35 12T:30T drive path,1,exports/final/manufacturing/drive_ggm + exports/drive_interface/parts/DRV-02,0,SH-INTERFACE,P3_GGM_BENCH_PASS_REQUIRED_BEFORE_P4,yes,K9DG60N2+K9G75C; software gearbox limit8.0 N.m; mechanical protection8.8-9.3 N.m; final GGM drawings govern
G1J-01,Reusable base plate,1,donor plate; drawing supplied,0,HW-ALLOW,VERIFY_INVENTORY,jig,"380x280x8, flatness <=0.30; no zero-cash claim until verified"
G1J-02,250 mm torque arm,1,exports/jigs/gate1/parts,0,CNC-02,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,jig,manual configuration only; remove before powered configuration
G1J-03,Front/rear polycarbonate panels,2,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,"3 mm PC, never acrylic; bucket includes all G1J-03..06 sheet"
G1J-04,Left polycarbonate panel,1,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,3 mm PC
G1J-05,Right slotted polycarbonate panel,1,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,open edge slot and baffle required
G1J-06,Torque-slot offset baffle,1,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,blocks fragment line of sight
G1J-07,20x20x2 metal guard upright L220,4,standard angle stock,0,HW-ALLOW,BUY_HOLD,jig,primary fragment-retention load path
G1J-08,20x20x2 steel screen rail L150,2,standard angle stock,0,HW-ALLOW,BUY_HOLD,jig,shimmed/removable
G1J-09,Interlock metal bracket,1,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,switch model-specific overtravel set at assembly
G1J-10,40x40x4 CUT-03 foot L50,4,standard angle stock,0,HW-ALLOW,BUY_HOLD,jig,metal plate-to-base load path
G1J-11,LEGACY DRV-01 foot L50,2,same stock as G1J-10,0,HW-ALLOW,LEGACY_NOT_FOR_GGM_DO_NOT_FABRICATE,no,historical powered fixture only; current GGM support uses final drive drawings
G1J-12,Top polycarbonate panel with chute opening,1,exports/jigs/gate1/parts,0,SAFE-ALLOW,BUY_HOLD,jig,3 mm PC closes fragment path; included in guard allowance
MET-01,0-200 N force gauge or 100 kg load cell/HX711,1,project-lab or buy allowance,7500,GATE1-METROLOGY,CALIBRATION_HOLD,jig,accuracy <=2%; M8 clevis and independent safety tether
G1J-P01..03,Printed chute/tray/edge trim,1,exports/jigs/gate1/parts,4400,GATE1-PRINT,PRINT_HOLD,jig,generated mass/cost must remain inside GATE1-PRINT bucket; cold low-load only
COLLAR/KEY/SHIM,"Ø25 split collars 8, 6x6 cutter keys, 8x7 gear keys, 0.25/0.50 metal shims",1,standard hardware,0,HW-ALLOW,BUY_HOLD,yes,coupon and shaft axial retention; no printed shim or set-screw-only torque path
SAFE-K0/K1,Manual-reset control relay and 24 V motor power relay,1,project-lab or SAFE-ALLOW,0,SAFE-ALLOW,VERIFY_RATING,yes,K1 DC breaking rating >=30 V/25 A; K0 has seal-in auxiliary contact
SAFE-S0/S1,Latching E-stop NC + positive-opening guard switch NC,1,project-lab or SAFE-ALLOW,0,SAFE-ALLOW,VERIFY_RATING,yes,series hard inhibit; Mega cannot bypass
SAFE-F1/F2,20 A motor branch fuse + 2 A control fuse,1,project-lab or fuse allowance,0,FUSE-ALLOW,VERIFY_RATING,yes,close to 24 V source
HW-SET,"Fastener, shim, collar and clevis set",1,fastener_schedule.csv,0,HW-ALLOW,BUY_HOLD,yes,all quantities and torques in schedule; bucket cap retained
