drawing_number,part_assembly_id,revision,units,scale,projection,material,finish,general_tolerance,critical_tolerance,notes,source_commit,pdf,page,status
FD-003,FD-003,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,304 auger/housing/common agitator shaft,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,auger OD24.60; housing ID25.00 +0.05/0; radial clearance 0.20–0.25 mm; shaft/bore diametral clearance0.200–0.322; SYS-15 Ø3x12 spring pin; pitch18,positive feeder; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FD-003_positive_feeder.pdf,1,PASS
EX-001,EX-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,SCM440 screw/barrel / steel supports,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,integral barrel shoulder + rear retainer; 2× M4×25 class8.8 at 2.9 N·m; cold endplay 0.12–0.28 mm; front guide axial travel ≥1.50 mm; mount M5×4 = 2.5 N·m,extruder assembly; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/EX-001_extruder_assembly.pdf,1,PASS
EX-002,EX-002,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,nitrided SCM440 / NSK 51102 / 17-4PH die insert,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,"cold screw/barrel diametral clearance 0.28–0.32 mm; 51102 pocket clearance0.30–0.35 mm; shaft abutment≥23 mm; housing abutment≤20 mm; shim-set loaded-direction endplay0.05–0.15 mm; coaxiality ≤0.05 mm; thrust M6×8 = 9 N·m; die SYS-04 M4×45×4 stock screws cut/deburred to42.5±0.1 give engagement6.82–7.40/thread-bottom clearance0.60–1.18; digital torque1.50 N·m, physical receipt/leak/first thermal cycle NOT_RUN; retainer M4×2 = 1.2 N·m",screw/barrel/die; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/EX-002_screw_barrel_die.pdf,1,PASS
EX-003,EX-003,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,mica/NiCr heater and thermocouple candidates,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,"Band free-state ID34.10–34.20 and usable closure≥1.00 leave worst-case closure reserve0.277 mm; after cold tightening, 0.05 mm feeler penetration≤5 mm at 8 sectors excluding split±10° is physical NOT_RUN. HOLD T1–T3: probe unselected; OD tolerance and insertion stop unqualified. Barrel flat-bottom bore5.40±0.05 preserves conservative ligament3.345≥3.32, but does not qualify probe insertion; do not deepen or force probe to bottom. T4 insertion10/blind12 and T5 insertion4 are nominal candidates. Qualify retention, insulation and thermal response before assembly. SYS-04 die joint digital load-path PASS at1.50 N·m; physical receipt/leak/first thermal cycle NOT_RUN; shield clearance requires service verification.",heater/thermocouple layout; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/EX-003_heater_thermocouple_layout.pdf,1,PASS
FM-001,FM-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,5052 duct / donor fans,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,strand centreline offset ≤0.50 mm; hot-shield clearance ≥12 mm,cooling and strand path; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FM-001_cooling_and_strand_path.pdf,1,PASS
FM-002,FM-002,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,6061 plates / silicone rollers / S45C eccentric bushes,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,adjusted unloaded roller gap 1.60–1.90 mm over full rotation; bush index pair≤0.5°; roller axes parallel≤0.05/80; gauge datum alignment≤0.10 mm,gauge/puller; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FM-002_gauge_puller.pdf,1,PASS
SP-001,SP-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,6061 plates / stainless shafts,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,spool shaft Ø12 h6; traverse rod parallelism ≤0.10/160,spooler/traverse; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SP-001_spooler_traverse.pdf,1,PASS
GD-001,GD-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,polycarbonate and bonded metal panels,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,hazard opening ≤6 mm; no reach path to moving/hot parts,guards and panels; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/GD-001_guards_and_panels.pdf,1,PASS
EL-001,EL-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,2 mm 5052 enclosure,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,PE bond target 0.10 ohm 이하; signal/power duct separation ≥18 mm,electrical enclosure; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/EL-001_electrical_enclosure.pdf,1,PASS
SV-001,SV-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,service-envelope reference geometry,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,front/rear access ≥600 mm; hot-zone removal envelope kept clear,service envelopes; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SV-001_service_envelopes.pdf,1,PASS
