scope,part_id,description,quantity,material,status,source,evidence,landed_line_KRW,cost_state,notes
legacy_interface:S1,S1-CUT-B-P05,S1 cutter B tooth phase 5 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 19.780220 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P06,S1 cutter B tooth phase 6 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 23.736264 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P07,S1 cutter B tooth phase 7 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 27.692308 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P08,S1 cutter B tooth phase 8 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 31.648352 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P09,S1 cutter B tooth phase 9 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 35.604396 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P10,S1 cutter B tooth phase 10 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 39.560440 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P11,S1 cutter B tooth phase 11 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 43.516484 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P12,S1 cutter B tooth phase 12 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 47.472527 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-SHAFT-A,S1 shaft A 25x282,1,C45 or SCM440 certified,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,25 k6 at y40..55 and231..246; cutter/key lands25 h6. Keyways must not cross journals. Retention collars required; step/fillet audit pending.
legacy_interface:S1,S1-SHAFT-B,S1 shaft B 25x250,1,C45 or SCM440 certified,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,25 k6 at y40..55 and231..246; cutter/key lands25 h6. Keyways must not cross journals. Retention collars required; step/fillet audit pending. Front gear key6deg; cutter key0deg.
legacy_interface:S1,S1-SIDE,S1 side containment strip,2,3mm steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Two steel side liners. Upper inlet and lower outlet intentionally open inside interlocked enclosure.
legacy_interface:S1,S1-SPACER-A,S1 spacer A,12,Ground C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,6.40 +/-0.02 thickness; stack sorted and shimmed. No bearings on these spacers.
legacy_interface:S1,S1-SPACER-B,S1 spacer B,12,Ground C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,6.40 +/-0.02 thickness; stack sorted and shimmed. No bearings on these spacers.
legacy_interface:S1,S1-STUD,M6 threaded rod270 nominal,4,Steel fastener,FASTENER_RATING_VERIFY,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"4 studs,270mm; thread geometry not modelled. Select proof-load certified rods/nuts."
legacy_interface:S1,S1-SYNC,KHK SS2-30HJ25 reference,2,S45C hardened,COTS_TOOTH_REFERENCE,https://khkgears.net/pdf/ss.pdf,C1_INTERFACE_BASELINE,,UNKNOWN,"Pitch60 OD64; face20 hub10. Involute reference has simplified root. Purchase manufacturer gear, do not cut from this model."
legacy_interface:S1,S1-TIE-TUBE,Ground carrier spacer12OD x175,4,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,175.00 +/-0.02; four tubes clamp front/rear carriers into one metal cartridge. Bore6.6; do not substitute printed struts.
legacy_interface:S1,S1-WALL,S1 metal end liner,2,S355 wear liner,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Wear liner shaft opening26; not bearing seat. Ground/shimmed cutter end gap0.60 nominal. FourD12.4 edge-reliefs atX10/150,Z6/86 clear metal tie spacers."
legacy_interface:cooling,COOL-FAN,Sanyo9RA0824H1001,2,Purchased,DATASHEET_BODY_HOLE_PATTERN_VERIFY,https://products.sanyodenki.com/en/sanace/dc/dc-fan/9RA0824H1001/,C1_INTERFACE_BASELINE,,UNKNOWN,"80x80x38,24V0.33A7.92W; mounting pattern must use final manufacturer drawing. Tach, no PWM pin."
legacy_interface:cooling,COOL-TRAY,Air cooling trough275x80,1,Sheet metal,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,275mm working length. Filament path125Z; thermal model determines throughput; fans require a measured duct curve.
legacy_interface:drive,BR-6001,6001 bearing boundary,2,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6001-apn.html,C1_INTERFACE_BASELINE,,REQUOTE_AFTER_QUANTITY_CHANGE,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
legacy_interface:drive,BR-6204,6204 bearing boundary,2,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6204-apn.html,C1_INTERFACE_BASELINE,,UNKNOWN,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
legacy_interface:drive,DRV-B12,Input rear bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,28 H7; 34 mm local width clears adjacent output sprocket. Attachment/rib stiffness DFM hold.
legacy_interface:drive,DRV-B20,Output rear bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,47 H7; metal support with bearing retainers required.
legacy_interface:drive,DRV-BFRONT,Common front bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Two independent bores at56.9402 centres,28 H7 and47 H7. Combined plate avoids overlapping separate housings. Top92.5Z clears M2 can; upper-right corner relief clears coaxial bridge."
legacy_interface:drive,DRV-CPL12,Split clamp coupling 12-12,1,Steel,CLAMP_TORQUE_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,2xM5 clamp bolts; friction capacity and motor flat-specific jaw require proof. Not an approved torque limiter.
legacy_interface:drive,DRV-IN-SHAFT,Common input shaft 12x157,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Bearing journals 12 k6; keyed regions 12 h6. 4 mm key width; retaining collar details in RFQ.
legacy_interface:drive,DRV-JACK,Output jackshaft 20x168,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,20 k6 bearing seats; 6 mm keyway outside bearing seats. Shoulder/retention specification needs final tolerance audit.
legacy_interface:drive,DRV-M1,M1 TT GMP60 motor reference,1,Purchased,DATASHEET_INTERFACE_REFERENCE,https://www.ttmotor.com/uploads/GMP60-609760127.pdf,C1_INTERFACE_BASELINE,,UNKNOWN,"4xM5 PCD45, pilot32, shaft12 D10.9; encoder and wire exit not dimensioned in this option."
legacy_interface:drive,DRV-SH15L,KHK SH2-15LH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,C1_INTERFACE_BASELINE,,UNKNOWN,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
legacy_interface:drive,DRV-SH40R,KHK SH2-40RH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,C1_INTERFACE_BASELINE,,UNKNOWN,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
legacy_interface:drive,DRV-SP12-B12,ANSI35 12T sprocket bore12,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
legacy_interface:drive,DRV-SP24-B20,ANSI35 24T sprocket bore20,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
legacy_interface:drive,DRV-SP24-B25,ANSI35 24T sprocket bore25,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,C1_INTERFACE_BASELINE,,UNKNOWN,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
legacy_interface:drive,KEY-4-70,Parallel key4x4x70,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
legacy_interface:drive,KEY-6-16,Parallel key6x6x16,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,REQUOTE_AFTER_QUANTITY_CHANGE,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys. VP1 second jackshaft key cut to 14.8 mm before y388 bearing; fit/strength HOLD.
legacy_interface:drive,KEY-6-70,Parallel key6x6x70,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
legacy_interface:drive+frame_mount,DRV-M1-PL,TT60 common motor face plate,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Motor axis datum(35,32.5); 4x5.5 THRU onPCD45. Confirm motor engagement depth."
legacy_interface:electrical,EL-PSU,Owned 24V 800W PSU,1,Purchased,OWNED_MOUNTING_PATTERN_UNMEASURED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,C1_INTERFACE_BASELINE,0,OWNED_NO_NEW_PURCHASE,No guessed mounting holes. 120x240x65 user measurement; model contains true body only.
legacy_interface:extruder,BR-51102,51102 bearing boundary,1,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/51102-apn.html,C1_INTERFACE_BASELINE,,UNKNOWN,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
