scenario,protected_requirement_or_failure_mode,input,method,expected_evidence,pass_fail_threshold,result,evidence
PurgeMeasuredRevolutionsLow,elapsed time alone cannot complete purge,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,elapsed time alone cannot complete purge,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-3.77053e-10], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=16,final=16], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=382.757,final=382.757], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
PurgeMeasuredRevolutionsPass,measured revolutions plus elapsed time can qualify purge,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,measured revolutions plus elapsed time can qualify purge,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-6.10534e-12], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=34.6667,final=34.6667], purgeComplete[peak=1,final=1], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=382.757,final=382.757], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
HeaterAllocatorAllZonesCold,four-zone demand respects phase cap,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,four-zone demand respects phase cap,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572409], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
HeaterAllocatorRecovery,allocation recovers without a hidden cap,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,allocation recovers without a hidden cap,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572399], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=1,final=1], heaterIntegrator[peak=448.805,final=448.805], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
HeaterAppliedDutyAntiWindup,integrator remains bounded under denied duty,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,integrator remains bounded under denied duty,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572392], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.5,final=0.5], heaterIntegrator[peak=94.8181,final=94.8181], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
SpoolRadiusSweep,full-radius speed demand is recomputed,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,full-radius speed demand is recomputed,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572418], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
DancerClosedLoopDisturbance,dancer state returns to target,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,dancer state returns to target,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572416], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
SpoolJamBeforeControlledLimit,jam is detected before controlled-stop angle,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,jam is detected before controlled-stop angle,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572369], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0.12,final=9.37247e-09], spoolJamDetected[peak=1,final=1], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
TraversePitchEmptySpool,pitch is synchronized to empty-spool turns,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,pitch is synchronized to empty-spool turns,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572409], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
TraversePitchFullSpool,pitch is synchronized to full-spool turns,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,pitch is synchronized to full-spool turns,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572418], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
TraverseLimitFailure,missed limit becomes a hard fault,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,missed limit becomes a hard fault,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572369], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=1,final=1], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
FormingChainFaultCascade,fault disables feeder and production spool,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,fault disables feeder and production spool,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572389], coolingValid[peak=0,final=0], fan1Rpm[peak=0,final=0], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
GaugeRequalificationToWaste,requalification stays on waste until rethread,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,requalification stays on waste until rethread,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572389], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
ManualRethreadToProduction,explicit rethread enables production after stable dwell,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,explicit rethread enables production after stable dwell,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572409], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
