part_id,description,quantity,material,status,source,notes
BR-625,625 bearing boundary,18,Bearing steel,STANDARD_SIZE_VERIFY_MPN,Supplier drawing / capacity confirmation required before procurement,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
DRV-BFRONT,Common front bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Two independent bores at56.9402 centres,28 H7 and47 H7. Combined plate avoids overlapping separate housings. Top92.5Z clears M2 can; upper-right corner relief clears coaxial bridge."
DRV-B12,Input rear bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,28 H7; 34 mm local width clears adjacent output sprocket. Attachment/rib stiffness DFM hold.
DRV-B20,Output rear bearing plate,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,47 H7; metal support with bearing retainers required.
DRV-SH15R,KHK SH2-15RH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
DRV-SH15L,KHK SH2-15LH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
DRV-SH40R,KHK SH2-40RH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
DRV-SH40L,KHK SH2-40LH reference,1,S45C hardened,COTS_REFERENCE_SECONDARY_BORE_HOLD,https://khkgears.net/pdf/sh.pdf,Purchased hardened teeth. 25 face + 10 hub. Do not machine teeth from this OD model. 40T bore modified 18 to20. Opposite-hand mating specified; lower-half key is mirrored before axial flip.
DRV-SP24-B20,ANSI35 24T sprocket bore20,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
DRV-SP24-B12,ANSI35 24T sprocket bore12,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
DRV-SP12-B12,ANSI35 12T sprocket bore12,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
DRV-SP24-B25,ANSI35 24T sprocket bore25,1,Steel,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD,Supplier drawing / capacity confirmation required before procurement,"9.525 pitch. Roller pocket reference only; exact manufacturer tooth form, width and working load must replace this model."
S1-SPACER-A,S1 spacer A,12,Ground C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,6.40 +/-0.02 thickness; stack sorted and shimmed. No bearings on these spacers.
S1-CUT-A-P00,S1 cutter A tooth phase 0 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 0.000000 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P01,S1 cutter A tooth phase 1 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 3.956044 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P02,S1 cutter A tooth phase 2 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 7.912088 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P03,S1 cutter A tooth phase 3 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 11.868132 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P04,S1 cutter A tooth phase 4 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 15.824176 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P05,S1 cutter A tooth phase 5 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 19.780220 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P06,S1 cutter A tooth phase 6 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 23.736264 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P07,S1 cutter A tooth phase 7 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 27.692308 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P08,S1 cutter A tooth phase 8 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 31.648352 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P09,S1 cutter A tooth phase 9 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 35.604396 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P10,S1 cutter A tooth phase 10 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 39.560440 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P11,S1 cutter A tooth phase 11 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 43.516484 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-A-P12,S1 cutter A tooth phase 12 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 47.472527 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-SHAFT-A,S1 shaft A 25x282,1,C45 or SCM440 certified,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,25 k6 at y40..55 and231..246; cutter/key lands25 h6. Keyways must not cross journals. Retention collars required; step/fillet audit pending.
S1-SPACER-B,S1 spacer B,12,Ground C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,6.40 +/-0.02 thickness; stack sorted and shimmed. No bearings on these spacers.
S1-CUT-B-P00,S1 cutter B tooth phase 0 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 0.000000 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P01,S1 cutter B tooth phase 1 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 3.956044 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P02,S1 cutter B tooth phase 2 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 7.912088 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P03,S1 cutter B tooth phase 3 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 11.868132 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P04,S1 cutter B tooth phase 4 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 15.824176 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P05,S1 cutter B tooth phase 5 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 19.780220 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P06,S1 cutter B tooth phase 6 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 23.736264 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P07,S1 cutter B tooth phase 7 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 27.692308 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P08,S1 cutter B tooth phase 8 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 31.648352 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P09,S1 cutter B tooth phase 9 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 35.604396 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P10,S1 cutter B tooth phase 10 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 39.560440 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P11,S1 cutter B tooth phase 11 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 43.516484 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-CUT-B-P12,S1 cutter B tooth phase 12 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 47.472527 deg; KEY REMAINS ZERO. Mark part phase before grinding."
S1-SHAFT-B,S1 shaft B 25x250,1,C45 or SCM440 certified,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,25 k6 at y40..55 and231..246; cutter/key lands25 h6. Keyways must not cross journals. Retention collars required; step/fillet audit pending. Front gear key6deg; cutter key0deg.
S1-SYNC,KHK SS2-30HJ25 reference,2,S45C hardened,COTS_TOOTH_REFERENCE,https://khkgears.net/pdf/ss.pdf,"Pitch60 OD64; face20 hub10. Involute reference has simplified root. Purchase manufacturer gear, do not cut from this model."
S1-BPL,S1 bearing carrier,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Two 52 H7 seats at60.00 +/-0.02 centres. Line bore assembled metal carriers. Datums A face, B base, C left edge."
S1-WALL,S1 metal end liner,2,S355 wear liner,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Wear liner shaft opening26; not bearing seat. Ground/shimmed cutter end gap0.60 nominal. FourD12.4 edge-reliefs atX10/150,Z6/86 clear metal tie spacers."
S1-SIDE,S1 side containment strip,2,3mm steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Two steel side liners. Upper inlet and lower outlet intentionally open inside interlocked enclosure.
S1-BR-CAP,Two-bearing retainer,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,47 mm inner abutment per NSK6205; four M6 through bolts share carrier pattern. No overlapping round caps.
S2-GUIDE,"8-lobe cycloidal guide, 9 fixed pins",1,C45 surface treatment RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Rpin72 / e7 / rollerR8; analytic offset allowance0.20. 8x5.5 onPCD70. Profile generated from analytic equations; contact fatigue/backlash NOT qualified.
S2-ROTOR,"S2 8-hook rotor110, bearing cartridge",1,C45 / wear inserts RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Active40; total70; 2x62 H7 counterbores14 deep; minimum wall and heat treatment DFM needed. Inserts vs monolithic material not yet closed.
S2-ECC,Eccentric sleeve35 / bore12 / e7,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Outside35 k6, bore12 H7, eccentricity7.00 +/-0.01; minimum geometric wall4.5. Separate sleeve permits bearing/rotor assembly; torque, key and fatigue validation pending."
S2-SHAFT,S2 drive shaft12x189,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Drive is one centred shaft plus removable eccentric sleeve, not an unassembleable integral crank. 12 k6 bearing seats."
S2-SUP,S2 chamfered main shaft support,2,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,28 H7 main bearing seat. Upper-left70mm chamfer clears S1 carrier; add metal rail support before load release.
S2-PIN-F,Fixed pin ring F,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"9x5 H7 holes onPCD144; 40deg pitch. Select precision shoulder pins, not threaded bolt shanks. Plate stays fixed."
S2-PIN-R,Fixed pin ring R,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"9x5 H7 holes onPCD144; 40deg pitch. Select precision shoulder pins, not threaded bolt shanks. Plate stays fixed."
S2-PIN,Precision roller pin5x31,9,Bearing steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Supported at both ends by fixed ring plates. Axial retaining hardware not yet released.
S2-CASE-L,S2 steel shell arc L,1,3mm steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,ID125.6 wall3. Two discrete shell arcs leave feed80deg and screen100deg. Flanges/fasteners must be finalised.
S2-CASE-R,S2 steel shell arc R,1,3mm steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,ID125.6 wall3. Two discrete shell arcs leave feed80deg and screen100deg. Flanges/fasteners must be finalised.
S2-SCREEN,Curved screen4mm x78 holes,1,2mm steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"4 mm round holes, pitch6 axial. Bent radius inner62.8. Hole size is not a guaranteed maximum particle length. Flat DXF generated separately."
FEED-BUF,Buffer190x48 top /50x40 throat /height73,1,PC outer shell plus metal throat,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Internal geometric volume calculated; usable75pct separately stated. Top fits between Y251..299, ahead of pin rings. Cold throat offset to barrel feed X289."
EX-SCREW,16mm x256mm compression screw,1,SCM440 QT/nitriding RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Pitch16, flight2, root10 feed /13 meter, L/D16. CAD flight has square flanks; fillets/tip geometry/finish and nitriding supplier confirmation required."
EX-BARREL,Barrel16.3ID x30OD x256,1,SCM440 nitrided RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Radial cold clearance0.15. Honing, straightness, hot fit, feed hole and die pressure sealing require supplier approval."
EX-REAR,Extruder rear/thrust shaft15,1,SCM440,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,x213..274 inassembly; collar258..264. No thrust transmitted to M2 bearings; shaft-screw connection detail is manufacturing HOLD.
EX-CPL,12-to15 split coupling32 long,1,Steel,CLAMP_TORQUE_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"D-shaft jaw and clamping proof pending, no axial load transfer intent."
EX-THRUST,Metal thrust carrier39x60x70,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"6202 and51102 distinct radial/thrust functions. Split lid, positive stops and end access need assembly DFM; digital solid only. Four M6 underside pilots atX10/26,Y10/50; mating stand positions232/248,255/295."
EX-DIE,Die36OD x20 with2mm exit,1,SCM440 or stainless RFQ,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"2mm die exit is a drawdown candidate for1.75 filament, not final calibration. Heater bore6x38; pressure attachment not yet detailed."
EX-H100,24V100W band heater30ID x40,3,Purchased custom,HEATER_QUOTE_AND_DRAWING_HOLD,Supplier drawing / capacity confirmation required before procurement,3units100W; power density100/(pi*3cm*4cm)=2.65W/cm2. Lead/clamp bulge not invented.
EX-H60,24V60W cartridge6x20,1,Purchased custom,HEATER_QUOTE_AND_DRAWING_HOLD,Supplier drawing / capacity confirmation required before procurement,"Rated60W is requirement, not a verified off-the-shelf product."
COOL-TRAY,Air cooling trough275x80,1,Sheet metal,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,275mm working length. Filament path125Z; thermal model determines throughput; fans require a measured duct curve.
COOL-FAN,Sanyo9RA0824H1001,2,Purchased,DATASHEET_BODY_HOLE_PATTERN_VERIFY,https://products.sanyodenki.com/en/sanace/dc/dc-fan/9RA0824H1001/,"80x80x38,24V0.33A7.92W; mounting pattern must use final manufacturer drawing. Tach, no PWM pin."
SPOOL-ENV,200mm x70 spool reference,1,User spool reference,SPOOL_INTERFACE_ONLY,Supplier drawing / capacity confirmation required before procurement,"Side-removable, support shaft/bracket/traverse and powered tensioning remain unqualified."
PULL-ROLLER,Puller roller20x22,2,TPU tread / metal hub,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"2 rollers,one compliant preload. Drive motor/tach and spring stack not yet manufacturing released."
HOPPER,35deg batch hopper,1,PC shell + steel lower liner,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Whole hopper exceeds print limit; must split into <=210mm panels before printing. Closed lid and standstill interlock mandatory; angle is not an access safety measure.
HOP-LID,Interlocked lid180x140,1,PC with metal strike,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Hinge/guard lock hardware not chosen. NO open-lid operation.
FR-2020-320,2020 profile cut320,1,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
S1-TIE-TUBE,Ground carrier spacer12OD x175,4,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,175.00 +/-0.02; four tubes clamp front/rear carriers into one metal cartridge. Bore6.6; do not substitute printed struts.
S1-STUD,M6 threaded rod270 nominal,4,Steel fastener,FASTENER_RATING_VERIFY,PPR-C1 original dimensional design; not an empirical qualification,"4 studs,270mm; thread geometry not modelled. Select proof-load certified rods/nuts."
S1-ROOF-F,Front roof bracket30x95x25,2,10mm steel welded/folded,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Face atY135 against retainer. M6 top hole to existing profile centreY50. Metal roof load path; bend/weld qualification pending.
S1-ROOF-R,Rear roof bracket30x48x25,2,10mm steel welded/folded,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Face atY352; M6 profile connection atY390. Do not print this bracket.
DRV-DECK,Steel drive deck240x194x5,1,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Deck atZ20..25, supported by existing crossmembers. Added4 feet must be included in frame stiffness review."
