Part ID,Description,Primary channel,Alternate channel,AliExpress policy,Required qualification,Evidence state
GAU-OPT-001,Close-up optic dual backlight front-surface mirror and light enclosure,Machine-vision optics supplier,AliExpress optical coupon only,SAMPLE_ONLY,front-surface mirror; distortion; MTF; backlight stability; combined U95,SEARCH_REQUIRED
SAF-EST-001,Dual-channel latching E-stop actuator and contact blocks,DigiKey or authorized safety distributor,Korean industrial automation supplier,FORBIDDEN,2NC positive-opening channels; latching reset; 24 VDC rating; enclosure/IP; safety validation,CANDIDATE_EVIDENCE_RECORDED
SAF-REL-001,Dual-channel 24 V E-stop and safety-gate relay with monitored reset,Authorized safety distributor,DigiKey; AutomationDirect,FORBIDDEN,dual-channel input; monitored reset; EDM; required PL/category; output utilization,CANDIDATE_EVIDENCE_RECORDED
SAF-CON-001,Two monitored 24 VDC safety contactors for independent Tower A motion and Tower B drive/heater zones,Authorized contactor distributor,Korean industrial automation supplier,FORBIDDEN,24 VDC coil; positively guided/mirror auxiliary; DC utilization; branch current; suppression,CANDIDATE_EVIDENCE_RECORDED
SAF-FUS-HLD,Fourteen finger-safe Class CC DIN branch fuse holders without fuse links,DigiKey or authorized circuit-protection distributor,Korean industrial panel supplier,FORBIDDEN,Class CC; 600 VDC holder rating; finger-safe; terminal conductor range; stock; exact fuse link coordination,CANDIDATE_EVIDENCE_RECORDED
SAF-FUS-001,Main fuse holder plus fourteen branch fuse links with ratings pending measured currents,Authorized circuit-protection distributor,DigiKey; DeviceMart,FORBIDDEN,DC voltage; branch current; interrupt rating; fuse coordination; touch-safe holder,SEARCH_REQUIRED
SAF-THM-001,Independent one-shot thermal fuses for four extruder and two dryer branches,DigiKey or authorized thermal-protection distributor,DeviceMart industrial catalog,FORBIDDEN,one-shot; zone-specific Tf/Th; current and DC interruption; mounting derating; approvals,CANDIDATE_EVIDENCE_RECORDED
SAF-INT-001,Positive-opening lid service and forming guard switch set,Authorized machine-safety distributor,DigiKey,FORBIDDEN,positive opening; actuator included; contact arrangement; defeat resistance; system PL validation,CANDIDATE_EVIDENCE_RECORDED
ELE-HTR-DRV,Six default-off isolated DC heater SSR channels,Authorized power-semiconductor/SSR distributor,DigiKey; DeviceMart,FORBIDDEN,24 VDC load output; worst-case SOA/Rds(on); isolation; default OFF; heat sink; welded-on test,CANDIDATE_EVIDENCE_RECORDED
ELE-HTR-HS,Two three-SSR DIN or panel heat sinks for six heater drivers,DigiKey or authorized Sensata distributor,Korean industrial thermal supplier,FORBIDDEN,three-SSR mounting; thermal resistance; interface material; orientation; enclosure ambient rise,CANDIDATE_EVIDENCE_RECORDED
ELE-SEN-IF,Eight-channel 24 V dry-contact diagnostic isolation and eight-channel default-OFF logic interface assembly,PCB assembly plus authorized components,DigiKey component order,FORBIDDEN,native PCB BOM MPN completion; keyed connectors; lifecycle; calibration; no safety credit,SEARCH_REQUIRED
ELE-PCB-IF,PPR isolated monitor interface bare PCB 190 x 130 mm two layer,JLCPCB/PCBWay prototype quotation,Local PCB fabricator,FORBIDDEN,current fabrication HOLD closure; stackup; finish; electrical test; impedance not claimed,SEARCH_REQUIRED
ELE-BUCK-001,Qualified 24 V to 5 V Raspberry Pi buck converter and fuse,DigiKey or authorized power distributor,DeviceMart industrial catalog,FORBIDDEN,9-36 V input; regulated 5 V >=5 A; transient; thermal; fuse; no USB backfeed,CANDIDATE_EVIDENCE_RECORDED
MISC-WIR-001,Keyed connectors cable duct ferrules wire labels PE lugs and moving cable protection,DeviceMart and authorized connector distributor,DigiKey; local panel shop,FORBIDDEN,wire gauge; temperature; keyed mating pairs; ferrules; PE lugs; cable-chain rating,SEARCH_REQUIRED
CTL-ENC-001,Grounded 500 by 400 by 210 mm industrial enclosure with 450 by 370 mm mounting plate,DigiKey or authorized nVent HOFFMAN distributor,Korean certified enclosure supplier,FORBIDDEN,500x400x210 mm; mounting plate; IP/Type/IK; PE provisions; SCCR; gland and thermal-rise review,CANDIDATE_EVIDENCE_RECORDED
