revision,interface_id,part_a,part_b,interface_type,nominal_dimension_a,nominal_dimension_b,clearance_interference,tolerance,standard_reference,assembly_method,tool,inspection_method,status
coupled-digital-validation-v0.5,IF-014,SP-AX-01,SP-DA-01/SP-RL-01,dancer pivot/roller axle,Ø8 h6,Ø8.2,0.20–0.42 mm diametral clearance,bore +0.05/0,internal project fit,metal collars,micrometer + pin gauge,full -25…+25° sweep free,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-015,donor traverse rods,PPR-C10,linear slide,Ø8 measured,Ø8.4 printed/reamed,0.40 mm nominal diametral clearance,selected by PPR-TC01 coupon,donor measurement,parallel rods + GT2 belt clamp,caliper + straightedge,80 mm stroke without bind,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-016,SP-SH-01,6001-2RS x2,spool bearing inner fit,Ø12 h6,ID Ø12,transition/slip per received bearing,shaft 0/-0.011 mm,6001-2RS 12×28×8,inner-ring collars,micrometer,full-spool runout check,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-017,6001-2RS,SP-BP-01,spool bearing outer support,OD Ø28,Ø28.2 through + metal retainer,0.20 mm diametral service clearance,bore +0.05/0,6001-2RS,metal washer/clip captures outer ring,bore gauge + torque wrench,outer ring cannot escape; rotates freely,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-018,PPR-C09,SP-SH-01,spool cone,Ø12.2 printed bore,Ø12 h6 spindle,0.20–0.41 mm diametral clearance,coupon-selected,project printed clearance,M6 cross clamp; metal collar bears axial load,reamer + hex key,adapter slides and clamps without split,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-019,EX-SCR-01 flight OD,EX-BAR-01 bore,screw radial clearance,Ø15.92 -0.02/0,Ø16.20 +0.02/0,0.14–0.16 mm radial,matched three-station report,RFQ drawing,matched supplier pair,micrometer + three-point bore gauge,B+20/B+140/B+260 clearance report,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-020,EX-SCR-01 journals,thrust/drive bearings,screw support,Ø12 h6 / Ø15 h6,received bearing IDs,matched transition fit,TIR ≤0.03 mm,RFQ drawing + bearing data,metal thrust stack,micrometer + dial indicator,hand rotation and axial endplay Gate-3,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-021,FD-MET-02 rotor,FD-MET-01 housing,metering rotor clearance,OD31.60 -0.05/0,ID32.00 nominal,0.20–0.225 mm radial,housing ID ±0.05 mm,internal project fit,removable rotor and collars,micrometer + bore gauge,hand rotation and Gate-2 feed coupon,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-022,FD-MET-03 shaft,FD-MET-02 rotor,feeder shaft,Ø5 h8,Ø5.2,0.20 mm nominal diametral clearance,cross-pin/collars after donor measurement,internal project fit,removable pin/collars,micrometer + pin gauge,no rub through full revolution,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-023,EX-BAR-01,HT-BAND-01 x3,band heater clamp,OD Ø34.00 ±0.05,ID Ø34.0 custom,zero-gap clamp contact,heater maker clamp range must include 33.95–34.05,custom mica band supplier drawing,split band clamp; no 35 mm substitution,micrometer + feeler,360° contact and cold insulation resistance,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-024,EX-DIE-01,HT-CART-01,cartridge heater bore,Ø6.20 H9 through,heater Ø6.00,0.20–0.23 mm diametral running fit,bore +0/+0.030 mm,heater supplier drawing,anti-seize + positive axial clamp,pin gauge + megohmmeter,full insertion; no loose lead loading,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-025,EX-BAR zones 1–3,TEMP-01..03,barrel thermocouple,Ø3.2 blind bore target,Ø3 mineral-insulated K probe,0.2 mm diametral clearance,tip within 1.5–2.0 mm of bore wall,IEC 60584 K-type,compression screw/washer,depth gauge + continuity meter,"probe reads barrel metal, not band surface",PASS_DIGITAL
coupled-digital-validation-v0.5,IF-026,EX-DIE-01,TEMP-04,die thermocouple,Ø3.2 blind bore,Ø3 K probe,0.2 mm diametral clearance,tip 2.0–3.0 mm from melt channel,IEC 60584 K-type,compression screw/washer,depth gauge + continuity meter,no intersection with Ø8 melt/heater channels,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-027,FD-HOP-01 wall,HT-PTC-01 spreader,hopper maintenance heater,2 mm stainless wall,aluminum spreader + insulated PTC,full thermal-pad contact,electrically isolated; no polymer contact,supplier PTC data pending,clamped metal sandwich,megohmmeter + feeler,measure one PTC power and equilibrium temperature before fixing quantity,REFERENCE_POWER_MEASUREMENT_REQUIRED
coupled-digital-validation-v0.5,IF-028,M3 heat-set insert,PPR-C06/C11,printed insert bore,insert lot OD4.2/4.6,matching blind bore,coupon-selected interference,PPR-TC01 controls,insert supplier data,temperature-controlled press,coupon + pullout fixture,print and pull-test PPR-TC01 with actual insert lot,PHYSICAL_COUPON_PENDING
coupled-digital-validation-v0.5,IF-029,M4 heat-set insert,PPR-C01/PPR-C10,printed insert bore,insert lot OD4.6/5.6,matching blind bore,coupon-selected interference,PPR-TC01 controls,insert supplier data,temperature-controlled press,coupon + pullout fixture,print and pull-test PPR-TC01 with actual insert lot,PHYSICAL_COUPON_PENDING
coupled-digital-validation-v0.5,IF-030,M4/M5/M6 fasteners,printed/metal clearance holes,bolt clearance,actual fastener shank,Ø4.5/5.5/6.6,ISO normal clearance,drawing-specific,ISO 273,washer + metal nut/T-nut/rivnut,pin gauge + torque wrench,all bolts insert and reach full thread,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-031,FD-TRN-01,FD-HOP-01/FD-MET-01,sealed feed sockets,OD32 tube,matching Ø32 sockets,>=8 mm engagement,leak path closed,project welded/clamped joint,TIG tack/weld or removable clamp,depth gauge,dry-flake leak/cleanability check,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-032,PPR-C03 x4,FD-BIN-01 sheet,flake-bin corner channel,1.4 mm printed slot,1.0 mm sheet,0.4 mm nominal slot clearance,printed ±0.30 mm,project printed sheet joint,M3 fasteners + welded/folded sheet,feeler + visual,no inward dead pocket or burr,PASS_DIGITAL
