Requirement ID,Disposition,Local evidence,Automated evidence,Open verification,Owner
REQ-THERM-002,PHYSICAL_OPEN,calculations/thermal/dryer_feeder.md;calculations/thermal/hot_zone_guard.md;simulation/thermal/hot_zone_guard.json;electronics/schematics/safety_power_control.md,validation/test_dryer_feeder_budget.py;validation/test_hot_zone_guard.py,Worst-case thermocouple test at shield seams clamps slots penetrations and nearest polymer point,User
REQ-PWR-001,BLOCKED_EXTERNAL,requirements/assumptions.md;calculations/power/power_budget.csv,validation/test_electronics_interfaces.py,PSU label terminal inspection and measured branch budget,User
REQ-PWR-002,DESIGN_EVIDENCE,calculations/controls/safety_timing.md;firmware/arduino_mega/src/control_core.cpp,firmware/arduino_mega/tests/test_control_core.cpp,Instrumented phase and branch-current fault test,User
REQ-INT-001,DESIGN_EVIDENCE,electronics/pinout/mega_pinout.csv;electronics/wiring/harness_schedule.csv,validation/test_electronics_interfaces.py,Finished-harness continuity insulation and earth tests,User
REQ-INT-002,DESIGN_EVIDENCE,electronics/protocol/frp1.md;firmware/arduino_mega/src/protocol.cpp,firmware/arduino_mega/tests/test_control_core.cpp,Physical optional service-USB dropout and noise injection,User
REQ-SAFE-001,BLOCKED_EXTERNAL,electronics/schematics/safety_power_control.md;firmware/arduino_mega/src/control_core.cpp,firmware/arduino_mega/tests/test_control_core.cpp,Controller-fault hardware energy-isolation test with selected E-stop and common contactor,User
REQ-SAFE-002,DESIGN_EVIDENCE,electronics/schematics/safety_power_control.md;electronics/pinout/mega_pinout.csv,validation/test_electronics_interfaces.py,Wire-open and cover-open hard-enable test,User
REQ-SAFE-003,DESIGN_EVIDENCE,cad/freecad/full_assembly/generate.py;docs/safety.md,validation/test_two_tower_geometry.py,Standardized physical reach probe and fragment-containment test,User
REQ-SAFE-004,BLOCKED_EXTERNAL,electronics/schematics/safety_power_control.md;firmware/arduino_mega/src/control_core.cpp,firmware/arduino_mega/tests/test_control_core.cpp,Independent fuse high-limit and welded-driver fault tests,User
REQ-SAFE-005,DESIGN_EVIDENCE,calculations/controls/safety_timing.md;firmware/arduino_mega/src/control_core.cpp,firmware/arduino_mega/tests/test_control_core.cpp,Low-energy physical jam and coast-down demonstration,User
REQ-SAFE-006,BLOCKED_EXTERNAL,firmware/arduino_mega/src/configuration.h;firmware/arduino_mega/src/control_core.cpp;docs/calibration.md,firmware/arduino_mega/tests/test_control_core.cpp,Full physical fault-injection matrix after sensor selection,User
REQ-SAFE-007,DESIGN_EVIDENCE,docs/safety.md;docs/maintenance.md;cad/freecad/full_assembly/generate.py,validation/test_cad_generation.py,Guard inspection and lockout procedure demonstration,User
REQ-SAFE-008,DESIGN_EVIDENCE,docs/operation.md;docs/safety.md;docs/ui_screens.md;requirements/constraints.md;electronics/protocol/frp1.md;firmware/arduino_mega/src/ui_core.cpp,firmware/arduino_mega/tests/test_ui_core.cpp;firmware/arduino_mega/tests/test_sketch_compile.cpp,Donor TFT driver integration and physical UI review,Codex and User
REQ-COST-001,BLOCKED_EXTERNAL,bom/target_budget_design.csv;bom/cost_rollup.csv;bom/cost_evidence.csv,validation/test_bom.py,Landed quotes and validated stock proving total at or below 200000 KRW,User
REQ-COST-002,BLOCKED_EXTERNAL,bom/cost_rollup.csv;exports/cnc_quote_packages/README.md;requirements/responsibility_matrix.md,validation/test_bom.py;validation/test_cnc_quote_packages.py,Final fabrication-release drawings and actual quotes totaling at or below 100000 KRW,Codex and User
REQ-COST-003,AUTOMATED_PASS,bom/target_budget_design.csv;bom/engineering_recommended_design.csv;bom/cost_analysis.md,validation/test_bom.py,None for document separation; prices remain external,Codex
REQ-DOC-001,AUTOMATED_PASS,cad/generation/generate_all.py;cad/generation/render_views.py;artifacts/manifest.json;docs/validation_report_ko.md,validation/test_cad_generation.py;validation/test_review_variants.py;validation/test_release_package.py,None for current package; FreeCAD runtime must be provisioned for each rebuild,Codex
REQ-DOC-002,DESIGN_EVIDENCE,docs/build_manual_ko.pdf;docs/manual_coverage.csv;bom/bom.csv;electronics/pinout/mega_pinout.csv;docs/calibration.md;docs/operation.md;docs/maintenance.md;docs/validation_report_ko.md,validation/test_manual_coverage.py;validation/test_release_package.py,Independent third-party fabrication document review,User
